Trade ID,Currency,MTM.Base,MTM.UP,MTM.Down,Delta Shock
SYS_53127,USD,"-506,000","-820,325.00","-359,315.00","-209,550.00"
SYS_53128,USD,"-839,000","-1,597,925.00","-484,835.00","-505,950.00"
SYS_53129,USD,"-946,000","-1,236,925.00","-810,235.00","-193,950.00"
SYS_53130,USD,"-591,000","-694,275.00","-542,805.00","-68,850.00"
SYS_53131,USD,"-661,000","-878,575.00","-559,465.00","-145,050.00"
SYS_53132,USD,"-971,000","-1,358,450.00","-790,190.00","-258,300.00"
SYS_53133,USD,"614,000","1,210,250.00","335,750.00","397,500.00"
SYS_53134,USD,"803,000","1,310,600.00","566,120.00","338,400.00"
SYS_53135,USD,"614,000","1,113,500.00","380,900.00","333,000.00"
SYS_53136,USD,"-617,000","-1,295,600.00","-300,320.00","-452,400.00"
SYS_53137,USD,"-852,000","-1,671,900.00","-469,380.00","-546,600.00"
SYS_53138,USD,"999,000","127,290.00","2,866,950.00","-1,245,300.00"
SYS_53139,USD,"988,000","94,240.00","2,903,200.00","-1,276,800.00"
SYS_53140,USD,"514,000","-868,290.00","3,476,050.00","-1,974,700.00"
SYS_53141,USD,"869,000","686,720.00","1,259,600.00","-260,400.00"
SYS_53142,USD,"-522,000","-153,240.00","-1,312,200.00","526,800.00"
SYS_53143,USD,"604,000","224,950.00","1,416,250.00","-541,500.00"
SYS_53144,USD,"921,000","464,880.00","1,898,400.00","-651,600.00"
SYS_53145,USD,"979,000","604,570.00","1,781,350.00","-534,900.00"
SYS_53146,USD,"915,000","582,360.00","1,627,800.00","-475,200.00"
SYS_53165,USD,"610,000","2,834,500.00","16,800.00","1,483,000.00"
SYS_53166,USD,"790,000","2,431,000.00","243,000.00","1,094,000.00"
SYS_53167,USD,"887,000","1,630,250.00","540,150.00","495,500.00"
