Trade ID,Currency,6M,1Y,3Y,5Y,10Y
SYS_53127,USD,,,,910,316
SYS_53128,USD,,,,2504,1868
SYS_53129,USD,,,,346,712
SYS_53130,USD,,,,1349,1120
SYS_53131,USD,,,,141,2305
SYS_53132,USD,,,,260,535
SYS_53133,USD,,,,196,231
SYS_53134,USD,,,,540,1374
SYS_53135,USD,,,,1280,1289
SYS_53136,USD,,,239,1652,
SYS_53137,USD,,,194,586,
SYS_53138,USD,,,342,2517,
SYS_53139,USD,,,424,59,
SYS_53140,USD,,,263,165,
SYS_53141,USD,,,1608,946,
SYS_53142,USD,-785,-971,,,
SYS_53143,USD,-1059,-746,,,
SYS_53144,USD,21,2151,,,
SYS_53145,USD,830,953,,,
SYS_53146,USD,-731,-853,,,
SYS_53165,USD,1173,2155,,,
SYS_53166,USD,-610,-191,,,
SYS_53167,USD,1002,810,,,
