Trade ID,Currency,MTM.Base,MTM.UP,MTM.Down,Delta Shock
SYS_43101,USD,-2208310.00,-2298736.66,-2112839.24,-2253.00
SYS_43102,USD,-714380.00,-737154.11,-691253.92,-475.00
SYS_43103,USD,822310.00,836069.37,809378.87,298.00
SYS_43128,USD,1120020.00,1163408.75,1069376.21,-316.00
SYS_43129,USD,298230.00,352351.93,241901.12,1005.00
SYS_43130,USD,-414360.00,-409514.85,-418586.85,-211.00
SYS_43131,USD,-1134320.00,-1110309.25,-1156403.79,-1042.00
SYS_43132,USD,910150.00,867318.80,956404.46,1921.00
SYS_43133,USD,-508240.00,-477767.05,-535471.47,811.00
SYS_43144,USD,-47100.00,-68983.32,-24613.26,-442.00
SYS_43145,USD,290880.00,310725.59,271785.76,-760.00
SYS_43157,USD,-1950230.00,-2075998.96,-1834362.37,-603.00
SYS_43158,USD,-30110.00,-46162.21,-14219.25,961.00
SYS_43159,USD,-1136800.00,-1131174.51,-1143439.50,409.00
SYS_43160,USD,-573600.00,-624527.01,-518856.52,76.00
SYS_43161,USD,319820.00,342069.99,296950.34,774.00
SYS_43162,USD,190440.00,168473.01,215092.25,-973.00
SYS_43163,USD,-1348130.00,-1331651.11,-1366375.62,1382.00
SYS_43164,USD,-1438780.00,-1471448.50,-1406024.97,42.00
SYS_43173,USD,-887240.00,-897177.81,-878093.17,720.00
SYS_43174,USD,-889620.00,-806000.25,-974393.54,-1932.00
SYS_43175,USD,-1906060.00,-1832487.48,-1969283.08,-1645.00
SYS_43179,USD,1537590.00,1464018.25,1611888.14,1033.00
SYS_43180,USD,123590.00,104579.40,143174.91,-2017.00
SYS_43181,USD,-615220.00,-606491.66,-625057.90,-171.00
SYS_43182,USD,-751210.00,-796056.76,-710292.91,1227.00
SYS_43183,USD,-965980.00,-975067.90,-955307.85,84.00
SYS_43184,USD,1392730.00,1379626.81,1408439.73,839.00
SYS_43192,USD,-209800.00,-163338.19,-250062.57,622.00
SYS_43193,USD,667950.00,659101.74,676533.60,-305.00
SYS_43200,EUR,56060.00,11306.50,98609.42,1031.00
SYS_43201,EUR,380750.00,471950.45,287475.36,970.00
SYS_43202,EUR,-960870.00,-927101.89,-993660.47,670.00
SYS_43203,EUR,461690.00,519113.94,400222.34,319.00
SYS_43204,EUR,-1032780.00,-1110968.61,-948228.81,1539.00
SYS_43205,EUR,242680.00,206384.57,282770.13,-646.00
SYS_43206,EUR,157660.00,172832.19,143831.43,692.00
SYS_43207,EUR,188420.00,167739.12,209137.67,452.00
SYS_43208,EUR,1026670.00,1059640.67,999145.84,969.00
SYS_43209,EUR,-95730.00,-116895.90,-76306.32,489.00
SYS_43220,EUR,636160.00,579263.84,686403.02,193.00
SYS_43221,EUR,852510.00,785020.31,920421.75,-749.00
SYS_43222,EUR,484960.00,456135.72,511830.33,560.00
SYS_43223,EUR,-1927670.00,-1946829.36,-1907174.00,528.00
SYS_43224,EUR,1035660.00,999927.92,1067935.70,334.00
SYS_43225,EUR,1268570.00,1233935.11,1302192.39,1656.00
SYS_43226,EUR,120590.00,195495.92,44391.27,738.00
SYS_43227,EUR,482810.00,517358.44,451634.24,-991.00
SYS_43228,EUR,-1294120.00,-1373818.61,-1212822.94,-276.00
SYS_43229,EUR,302150.00,234050.20,376956.41,-1022.00
SYS_43230,EUR,216130.00,216030.33,216217.82,-2335.00
SYS_43231,EUR,-901160.00,-933024.67,-867497.30,-2665.00
SYS_43232,EUR,-1122320.00,-1140598.98,-1103951.56,1089.00
SYS_43233,EUR,1040640.00,1084635.26,991518.04,452.00
SYS_43242,GBP,-1051210.00,-1139064.33,-966218.63,271.00
SYS_43243,GBP,1902310.00,1894820.69,1909161.27,483.00
SYS_43244,GBP,313540.00,365270.44,259251.23,-242.00
SYS_43245,GBP,-2499070.00,-2495316.78,-2502675.64,-619.00
SYS_43246,GBP,-865120.00,-826803.10,-900043.98,-95.00
SYS_43247,GBP,-1490430.00,-1535465.57,-1447633.17,-38.00
SYS_43248,GBP,-538950.00,-500157.28,-577496.87,-760.00
SYS_43249,GBP,-1382310.00,-1398298.49,-1364457.71,-790.00
SYS_43250,GBP,666800.00,667576.23,665999.74,-709.00
SYS_43260,GBP,1060430.00,1087029.37,1034017.11,380.00
SYS_43271,JPY,-979110.00,-917236.21,-1044671.07,1472.00
