Trade ID,Currency,6M,1Y,3Y,5Y,10Y
SYS_43101,USD,-2253,,,,
SYS_43102,USD,-475,,,,
SYS_43103,USD,298,,,,
SYS_43128,USD,,1051,,,
SYS_43129,USD,,1257,,,
SYS_43130,USD,,105,,,
SYS_43131,USD,,535,,,
SYS_43132,USD,,,-1000,,
SYS_43133,USD,,,666,,
SYS_43144,USD,,,-537,,
SYS_43145,USD,,,474,,
SYS_43157,USD,,,,-2547,
SYS_43158,USD,,,,-376,
SYS_43159,USD,,,,135,
SYS_43160,USD,,,,-1153,
SYS_43161,USD,,,,,492
SYS_43162,USD,,,,,-527
SYS_43163,USD,,,,,397
SYS_43164,USD,,,,,-716
SYS_43173,USD,-205,,,,
SYS_43174,USD,1765,,,,
SYS_43175,USD,1570,,,,
SYS_43179,USD,,-1517,,,
SYS_43180,USD,,-418,,,
SYS_43181,USD,,213,,,
SYS_43182,USD,,-978,,,
SYS_43183,USD,,,-220,,
SYS_43184,USD,,,-316,,
SYS_43192,USD,,,1005,,
SYS_43193,USD,,,-211,,
SYS_43200,EUR,,,,-1042,
SYS_43201,EUR,,,,1921,
SYS_43202,EUR,,,,811,
SYS_43203,EUR,,,,1308,
SYS_43204,EUR,,,,-1817,
SYS_43205,EUR,,,,,-834
SYS_43206,EUR,,,,,310
SYS_43207,EUR,,,,,-490
SYS_43208,EUR,,,,,680
SYS_43209,EUR,,,,,-441
SYS_43220,EUR,,,,,-1189
SYS_43221,EUR,,,,,-1627
SYS_43222,EUR,,,,,-621
SYS_43223,EUR,,,,,-442
SYS_43224,EUR,,,-760,,
SYS_43225,EUR,,,-702,,
SYS_43226,EUR,,,1734,,
SYS_43227,EUR,,,720,,
SYS_43228,EUR,-1932,,,,
SYS_43229,EUR,-1645,,,,
SYS_43230,EUR,-2,,,,
SYS_43231,EUR,-717,,,,
SYS_43232,EUR,,-406,,,
SYS_43233,EUR,,1033,,,
SYS_43242,GBP,,-2017,,,
SYS_43243,GBP,,-171,,,
SYS_43244,GBP,,1227,,,
SYS_43245,GBP,,84,,,
SYS_43246,GBP,,,,839,
SYS_43247,GBP,,,,-972,
SYS_43248,GBP,,,,927,
SYS_43249,GBP,,,,-399,
SYS_43250,GBP,,,,17,
SYS_43260,GBP,,,,549,
SYS_43271,JPY,,,,1515,
