Product Name,Asset Class,Description,product,legalEntity,laName,csaName,po,tradeId,SourceSystem,otcType,npvCCY,npv,startDate,endDate,nextExerciseDate,buySell,putCall,payRefIndex,recRefIndex,payOffCCY,payOffAmount,notionalCCY,notional,quantity,tickSize,underlyingPrice,strike,quantoFXRate,payCCY,recCCY,payNotional,recNotional,subCls,underlyingProduct,settlementType,earlyTerminationDate,optionType,Strike2
IR_Swap_Fixed_Float,IR,"If Product Type is Swap and in Interest rate class, check for pay leg type and rec leg type. If one of them is fixed, then it is IR_Swap_Fixed_Float",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,Y,Y,,,,,,,,,,,,,,,
IR_Swap_Basis,IR,"Do as above. If both legs are float, then it is IR_Swap_Basis",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,Y,Y,,,,,,,,,,,,,,,
IR_Swap_Amortising,IR,"If Product Type is Swap and is in Interest Rate Class, if the notional is Bullet then it is a standard swap (one of the above), else it is a Amortising/accreting swap, IR_Swap_Amortising",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,Y,Y,,,,,,,,,,,,,,,
IR_FRA,IR,"If Product Type is FRA in Calypso and is in MM class, then it is IR_FRA",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
IR_Futures_Swap,IR,If Product type is Future Swap and the asset class is interest rate,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,Y,,,
IR_Futures_Eurodollar,IR,If Product type is Future MM and the asset class is interest rate,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,Y,,,
IR_Bond_Futures,IR,If Product type is Future Bond and the asset class is interest rate,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,,,Y,Y,,,,,,,,,,,,Y,,,
IR_Swaption_European,IR,"If the name of the product is Swaption in Interest Rate class, and the Product subtype is European, then it is IR_Swaption_European",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,Y,Y,,,Y,Y,,,,,,,,Y,,Y,
IR_Swaption_Bermudan,IR,"If the name of the product is Swaption in Interest Rate class, and the Product subtype is Bermudan then it is IR_Swaption_European",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,Y,Y,,,Y,Y,,,,,,,,Y,,Y,
IR_Option_Cap,IR,"If Product type is CapFloor and the asset class is interest rate and Option Type is Cap, then it is IR_Option_Cap",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,,Y,Y,,,,,,,,,,Y,
IR_Option_Cap_Digital,IR,If Product type is CapFloor and the asset class is interest rate and Option Type is Cap and Product SubType is Digital,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,,,,,Y,Y,,,,,,,,,,Y,
IR_Option_Floor,IR,"If Product type is CapFloor and the asset class is interest rate and Option Type is Floor, then it is IR_Option_Floor",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,,Y,Y,,,,,,,,,,Y,
IR_Futures_Swap_Option,IR,If Product type is Future Option Swap and the asset class is interest rate,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,Y,Y,,,Y,Y,,,,,,,,Y,,Y,
IR_Futures_Eurodollar_Option,IR,If Product type is FutureOption MM and the asset class is interest rate,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,Y,Y,,,Y,Y,,,,,,,,Y,,Y,
