Asset Class,SN or Index,Subclass,Supervisory factor,Correlation,Supervisory option volatility
IR,NA,,0.005,,0.5
FX,NA,,0.04,,0.15
CREDIT,SN,AAA,0.0038,0.5,1
CREDIT,SN,AA,0.0038,0.5,1
CREDIT,SN,A,0.0042,0.5,1
CREDIT,SN,BBB,0.0054,0.5,1
CREDIT,SN,BB,0.0106,0.5,1
CREDIT,SN,B,0.016,0.5,1
CREDIT,SN,CCC,0.06,0.5,1
CREDIT,INDEX,IG,0.0038,0.8,0.8
CREDIT,INDEX,SG,0.0106,0.8,0.8
EQ,SN,,0.32,0.5,1.2
EQ,INDEX,,0.2,0.8,0.75
CMDTY,NA,Electricity,0.4,0.4,1.5
CMDTY,NA,Oil_Gas,0.18,0.4,0.7
CMDTY,NA,Oil,0.18,0.4,0.7
CMDTY,NA,Gas,0.18,0.4,0.7
CMDTY,NA,Metals,0.18,0.4,0.7
CMDTY,NA,Agricultural,0.18,0.4,0.7
CMDTY,NA,Other,0.18,0.4,0.7
