Trade ID,Currency,MTM.Base,MTM.UP,MTM.Down,Delta Shock
SYS_33101,USD,-2208310,-2298736.662,-2112839.237,-2253
SYS_33102,USD,-714380,-737154.1096,-691253.9204,-475
SYS_33103,USD,822310,836069.3658,809378.8717,298
SYS_33104,USD,1120020,1163408.752,1069376.214,1051
SYS_33105,USD,298230,352351.9309,241901.1167,1257
SYS_33106,USD,-414360,-409514.8494,-418586.8532,105
SYS_33107,USD,-1134320,-1110309.248,-1156403.792,535
SYS_33108,USD,910150,867318.7979,956404.4633,-1000
SYS_33109,USD,-508240,-477767.0498,-535471.467,666
SYS_33110,USD,-47100,-68983.3195,-24613.25816,-537
SYS_33111,USD,290880,310725.5947,271785.7576,474
SYS_33112,USD,-1950230,-2075998.959,-1834362.371,-2547
SYS_33113,USD,-30110,-46162.20618,-14219.2465,-376
SYS_33114,USD,-1136800,-1131174.512,-1143439.502,135
SYS_33115,USD,-573600,-624527.011,-518856.5157,-1153
SYS_33116,USD,319820,342069.9857,296950.3409,492
SYS_33117,USD,190440,168473.0085,215092.2517,-527
SYS_33118,USD,-1348130,-1331651.114,-1366375.619,397
SYS_33119,USD,-1438780,-1471448.497,-1406024.972,-716
SYS_33120,USD,-887240,-897177.8109,-878093.1724,-205
SYS_33121,USD,-889620,-806000.2499,-974393.542,1765
SYS_33122,USD,-1906060,-1832487.482,-1969283.081,1570
SYS_33123,USD,1537590,1464018.255,1611888.139,-1517
SYS_33124,USD,123590,104579.4003,143174.908,-418
SYS_33125,USD,-615220,-606491.6608,-625057.8997,213
SYS_33126,USD,-751210,-796056.7635,-710292.906,-978
SYS_33127,USD,-965980,-975067.8994,-955307.8481,-220
SYS_33128,USD,1392730,1379626.806,1408439.734,-316
SYS_33129,USD,-209800,-163338.1878,-250062.569,1005
SYS_33130,USD,667950,659101.7417,676533.5987,-211
SYS_33131,USD,56060,11306.50227,98609.41984,-1042
SYS_33132,USD,380750,471950.4526,287475.3575,1921
SYS_33133,USD,-960870,-927101.8876,-993660.4672,811
SYS_33134,USD,461690,519113.9424,400222.3429,1308
SYS_33135,USD,-1032780,-1110968.615,-948228.8076,-1817
SYS_33136,USD,242680,206384.5705,282770.1334,-834
SYS_33137,USD,157660,172832.1854,143831.4286,310
SYS_33138,USD,188420,167739.1198,209137.6672,-490
SYS_33139,USD,1026670,1059640.672,999145.8446,680
SYS_33140,USD,-95730,-116895.9004,-76306.32344,-441
SYS_33141,USD,636160,579263.8444,686403.0244,-1189
SYS_33142,USD,852510,785020.3101,920421.7457,-1627
SYS_33143,USD,484960,456135.7222,511830.3272,-621
SYS_33144,USD,-1927670,-1946829.359,-1907173.999,-442
SYS_33145,USD,1035660,999927.9159,1067935.704,-760
SYS_33171,USD,1268570,1233935.115,1302192.387,-702
SYS_33172,USD,120590,195495.9212,44391.2653,1734
SYS_33173,USD,482810,517358.442,451634.2439,720
SYS_33174,USD,-1294120,-1373818.611,-1212822.935,-1932
SYS_33175,USD,302150,234050.2029,376956.4089,-1645
SYS_33176,USD,216130,216030.3278,216217.8152,-2
SYS_33177,USD,-901160,-933024.673,-867497.3019,-717
SYS_33178,USD,-1122320,-1140598.983,-1103951.557,-406
SYS_33179,USD,1040640,1084635.264,991518.0395,1033
SYS_33180,USD,-1051210,-1139064.332,-966218.6294,-2017
SYS_33181,USD,1902310,1894820.694,1909161.272,-171
SYS_33182,USD,313540,365270.4428,259251.232,1227
SYS_33183,USD,-2499070,-2495316.776,-2502675.64,84
SYS_33184,USD,-865120,-826803.0976,-900043.9799,839
SYS_33185,USD,-1490430,-1535465.575,-1447633.167,-972
SYS_33186,USD,-538950,-500157.2835,-577496.8706,927
SYS_33187,USD,-1382310,-1398298.494,-1364457.712,-399
SYS_33188,USD,666800,667576.2297,665999.7388,17
SYS_33189,USD,1060430,1087029.366,1034017.114,549
SYS_33190,USD,-979110,-917236.2108,-1044671.074,1515
SYS_33191,USD,-1714540,-1706424.765,-1722377.441,194
SYS_33192,USD,-278770,-252926.4476,-306038.3798,622
SYS_33193,USD,522570,508590.2826,537814.322,-305
SYS_33194,USD,-515300,-514293.2847,-516342.5684,24
SYS_33195,USD,394350,344161.337,437179.714,-1004
SYS_33196,EUR,-380010,-329478.6154,-432329.4427,1087
SYS_33197,EUR,866790,787653.1794,954418.522,-1846
SYS_33198,EUR,1249470,1248105.018,1250593.204,-28
SYS_33199,EUR,-98340,-126149.1003,-71811.88726,-631
SYS_33217,EUR,-770210,-800377.806,-735080.6778,-725
SYS_33218,EUR,-745130,-850032.5556,-654842.8892,-2172
SYS_33219,EUR,1030570,1066116.667,998280.2927,763
SYS_33220,EUR,-1667880,-1659794.462,-1675687.644,193
SYS_33221,EUR,839920,806107.68,876099.075,-749
SYS_33222,EUR,-241820,-215421.8799,-264610.173,560
SYS_33223,EUR,789910,816194.9477,764361.9352,528
SYS_33224,EUR,-753240,-738344.2952,-768629.2587,334
SYS_33225,EUR,-1044590,-965524.8064,-1111014.466,1656
SYS_33226,EUR,-938290,-902235.0502,-972386.3793,738
SYS_33227,EUR,362710,318007.4831,407823.8331,-991
SYS_33228,EUR,-448360,-461591.3559,-434701.424,-276
SYS_33229,EUR,-426980,-472065.0246,-385646.4986,-1022
SYS_33230,EUR,350730,253228.233,465420.5652,-2335
SYS_33231,EUR,528980,418309.342,637280.6485,-2665
SYS_33232,EUR,-684580,-630315.117,-729291.5809,1089
SYS_33233,EUR,1504270,1522731.414,1483278.009,452
SYS_33234,EUR,804730,850590.3931,754139.8483,1050
SYS_33235,EUR,-468160,-451957.6763,-483044.7481,351
SYS_33236,GBP,-267890,-288848.739,-244342.2233,-475
SYS_33237,GBP,835900,857778.3471,812397.879,540
SYS_33238,GBP,-440010,-484732.9392,-395104.1557,-915
SYS_33239,GBP,-1149440,-1141764.96,-1156798.002,165
SYS_33240,GBP,-813650,-834060.4587,-792502.7885,-502
SYS_33241,GBP,-1081190,-1026936.538,-1138358.334,1290
SYS_33242,GBP,119350,130519.9936,107166.7855,271
SYS_33243,GBP,2134800,2158449.415,2115178.411,483
SYS_33244,GBP,-277340,-287393.336,-266392.5779,-242
SYS_33245,GBP,-140410,-169713.6531,-110158.5876,-619
SYS_33246,GBP,509890,505751.1057,514467.9,-95
SYS_33268,GBP,5550,-17009.00571,31190.18708,-519
SYS_33269,GBP,60820,88480.40193,30910.37812,633
SYS_33270,GBP,-646490,-629756.6402,-664004.6519,380
SYS_33271,JPY,691180,755165.9761,627339.5752,1472
SYS_33272,JPY,-369990,-364109.0771,-375584.5811,132
SYS_33273,JPY,-793470,-827914.8259,-763134.7584,-723
SYS_33274,JPY,-306240,-349206.5279,-261615.2507,-961
SYS_33275,JPY,-2478770,-2573066.462,-2391733.598,-2093
SYS_33276,JPY,-785740,-819234.9126,-756835.6816,-690
SYS_33277,JPY,-190360,-184192.577,-196665.1347,145
